Airline,Type
QANTAS AIRWAYS,Premium
SINGAPORE AIRLINES,Premium
VIRGIN AUSTRALIA,Premium
AIR NEW ZEALAND,Premium
JETSTAR,Budget
EMIRATES,Premium
FIJI AIRWAYS,Premium
QATAR AIRWAYS,Premium
GARUDA INDONESIA,Premium
CATHAY PACIFIC,Premium
PHILIPPINE AIRLINES,Premium
MALINDO AIR,Budget
LATAM AIRLINES,Premium
AMERICAN AIRLINES,Premium
BATIK AIR,Budget
JAPAN AIRLINES,Premium
MALAYSIA AIRLINES,Premium
UNITED AIRLINES,Premium
VIETNAM AIRLINES,Premium
CHINA EASTERN AIRLINES,Premium
SOUTH AFRICAN AIRWAYS,Premium
DELTA AIR LINES,Premium
ETIHAD AIRWAYS,Premium
CHINA AIRLINES,Premium
THAI AIRWAYS INTERNATIONAL,Premium
VIETJETAIR,Budget
HAWAIIAN AIRLINES,Premium
AIR MAURITIUS,Premium
CHINA SOUTHERN AIRLINES,Premium
SCOOT,Budget
AIR INDIA,Premium
FINNAIR,Premium
SOLOMON AIRLINES,Premium
ROYAL BRUNEI AIRLINES,Premium
KOREAN AIR,Premium
AIR NIUGINI,Premium
ALL NIPPON AIRWAYS,Premium
ETHIOPIAN AIRLINES,Premium
AEGEAN AIRLINES,Premium
BRITISH AIRWAYS,Premium
ASIANA AIRLINES,Premium
AIR TAHITI NUI,Premium
AIRLINK,Budget
AIRNORTH,Budget
FLEXFLIGHT,Budget
AIR RAROTONGA,Budget
AIR CANADA,Premium
EVA AIR,Premium
SRILANKAN AIRLINES,Premium
PEGASUS AIRLINES,Budget
T'WAY AIR,Budget
AEROLÍNEAS SOSA,Budget
AUSTRIAN AIRLINES,Premium
SICHUAN AIRLINES,Premium
TAP PORTUGAL,Premium
AEROMEXICO,Premium
BANGKOK AIRWAYS,Premium
MYANMAR AIRWAYS INTERNATIONAL,Premium
XIAMEN AIRLINES,Premium
WORLD TICKET LTD,Budget
WINAIR,Budget
WESTJET,Premium
VUELING,Budget
VOLOTEA,Budget
VIVAAEROBUS,Budget
VISTARA,Premium
VIRGIN ATLANTIC,Premium
TURKISH AIRLINES,Premium
THAI LION AIR,Budget
TAROM,Premium
SWISS INTERNATIONAL AIR LINES,Premium
SPIRIT AIRLINES,Budget
SKY EXPRESS,Budget
SCANDINAVIAN AIRLINES,Premium
SAUDIA,Premium
RWANDAIR,Premium
ROYAL AIR MAROC,Premium
REX,Budget
PRECISION AIR,Budget
PORTER AIRLINES,Premium
OMAN AIR,Premium
MIDDLE EAST AIRLINES,Premium
LUFTHANSA,Premium
LAO AIRLINES,Premium
KUWAIT AIRWAYS,Premium
KLM,Premium
KENYA AIRWAYS,Premium
JUNEYAO AIRLINES,Premium
JETBLUE AIRWAYS,Budget
JEJU AIR,Budget
INTERCARIBBEAN AIRWAYS,Budget
ICELANDAIR,Premium
IBERIA,Premium
HONG KONG AIRLINES,Premium
HAINAN AIRLINES,Premium
HAHN AIR,Budget
GULF AIR,Premium
GOL TRANSPORTES AÉREOS,Premium
FRONTIER AIRLINES,Budget
FRENCH BLUE,Budget
FLYDUBAI,Budget
FLYCORPORATE,Budget
FASTJET,Budget
EUROWINGS,Budget
EL AL ISRAEL AIRLINES,Premium
EGYPTAIR,Premium
CROATIA AIRLINES,Premium
COPA AIRLINES,Premium
CEMAIR,Budget
CARIBBEAN AIRLINES,Premium
CAMBODIA ANGKOR AIR,Premium
CALIMA AVIACION S.L,Budget
BRUSSELS AIRLINES,Premium
BIMAN BANGLADESH AIRLINES,Premium
AZUL BRAZILIAN AIRLINES,Budget
AVIANCA,Premium
ASKY AIRLINES,Premium
ASIA ATLANTIC AIRLINES,Premium
ALASKA AIRLINES,Premium
AIRLINES PNG,Budget
AIRCALIN,Premium
AIR VANUATU,Premium
AIR TANZANIA,Premium
AIR SERBIA,Premium
AIR MALTA,Premium
AIR KYRGYZSTAN,Budget
AIR FRANCE,Premium
AIR EUROPA,Premium
AIR CHINA,Premium
AIR CARAIBES,Premium
AIR BISHKEK,Budget
AER LINGUS,Premium